#TICID,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
43213934,2845,M5.9,23,Yes,Yes,1.58378,2.724E+030,0.7488,0.02276,0.0183,0.00019,<<1E-310,9.118,6.399,2.739,18.698,16.919,9.749,0.473,0.006,0.003,SIMBAD,THIN-DISK,0.985
405503787,2972,M5.1,"15,16,22,23,49,50",Yes,Yes,0.00523,4.924E+030,0.8275,0.00068,0.0017,0.00001,<<1E-310,37.377,-3.589,8.207,46.957,6.931,15.217,12.447,19.096,25.283,GAIA-DR3,THIN-DISK,0.979
291872745,2720,M6.7,"7,33",No,No,0.18528,,,,,,,6.431,-12.778,-15.973,16.011,-2.258,-8.963,0.818,0.03,0.037,SIMBAD,THIN-DISK,0.987
452811808,2708,M6.8,32,No,No,6.44693,,,,,,,-7.498,-15.905,25.474,2.082,-5.385,32.484,0.853,0.045,0.07,SIMBAD,THIN-DISK,0.953
366567664,2709,M6.8,"7,34,44,45,46",Yes,Yes,0.70438,1.175E+030,0.735,0.00049,0.01,0.00011,<<1E-310,-39.064,-47.682,-26.702,-29.484,-37.162,-19.692,0.805,1.043,0.908,SIMBAD,THIN-DISK,0.982
320524973,2720,M6.7,"14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53",Yes,Yes,0.08962,1.576E+030,0.5217,0.00024,0.0058,0.00006,<<1E-310,-30.092,1.063,3.795,-20.512,11.583,10.805,0.496,0.011,0.021,SIMBAD,THIN-DISK,0.986
121013320,2246,L0,"40,41",Yes,No,1.61854,2.154E+029,,,,,,1.829,9.083,-36.475,11.409,19.603,-29.465,0.626,0.016,0.065,SIMBAD,THIN-DISK,0.953
336209523,2665,M7.1,"14,26,40,41,53",Yes,No,0.84535,1.101E+030,,,,,,-31.76,14.219,-4.73,-22.18,24.739,2.28,0.656,0.018,0.009,SIMBAD,THIN-DISK,0.984
17992447,2441,M8.7,48,Yes,Yes,9.32375,4.388E+029,0.4743,0.00873,0.0616,0.00024,6.19E-302,14.794,2.984,-9.445,24.374,13.504,-2.435,0.951,0.067,2.805,SIMBAD,THIN-DISK,0.987
17970570,2951,M5.2,"22,48",Yes,Yes,0.00004,3.545E+030,0.5593,0.00041,0.004,0.00004,6.48E-211,19.989,8.545,1.055,29.569,19.065,8.065,1.546,0.084,4.671,SIMBAD,THIN-DISK,0.983
219066411,2887,M5.6,25,No,No,0.0066,,,,,,,14.469,-23.122,13.896,24.049,-12.602,20.906,0.699,0.009,0.005,SIMBAD,THIN-DISK,0.976
13270128,2797,M6.2,18,Yes,No,0.2181,1.916E+030,,,,,,-23.076,-21.652,-11.421,-13.496,-11.132,-4.411,0.265,0.025,0.014,SIMBAD,THIN-DISK,0.988
445064836,3039,M4.7,"20,47",Yes,No,0.0093,5.362E+030,,,,,,-29.808,-51.213,2.979,-20.228,-40.693,9.989,1.989,1.324,2.435,SIMBAD,THIN-DISK,0.969
307956653,2516,M8.2,"14,15,16,17,18,19,20,21,22,24,25,26,40,41,47,48,49,50,51,52,53",Yes,Yes,0.01507,5.27E+029,0.1511,0.00002,0.0081,0.00011,<<1E-310,10.592,11.139,-14.41,20.172,21.659,-7.4,0.372,0.019,0.024,SIMBAD,THIN-DISK,0.984
306114021,2878,M5.7,19,No,Yes,0.08266,,1.073,0.04617,0.0056,0.00012,2.5E-109,-9.425,-15.346,-11.306,0.155,-4.826,-4.296,0.499,0.018,0.013,SIMBAD,THIN-DISK,0.989
160421026,2607,M7.5,"20,21",No,No,0.05869,,,,,,,-7.767,-2.784,-0.015,1.813,7.736,6.995,0.216,0.044,0.042,SIMBAD,THIN-DISK,0.988
316627328,2922,M5.4,"18,19",Yes,No,0.90597,3.775E+030,,,,,,1.901,6.087,-4.541,11.481,16.607,2.469,1.999,2.277,0.086,SIMBAD,THIN-DISK,0.987
278335977,2785,M6.3,16,No,Yes,0.3316,,0.1831,0.00144,0.1986,0.00096,<<1E-310,198.617,22.839,-5.809,208.197,33.359,1.201,819.923,92.694,32.028,SIMBAD,THICK/HALO-TRANSITION,0.272
202408306,2513,M8.2,50,No,Yes,0.00834,,0.6387,0.01554,0.0082,0.00042,8.9E-53,-62.307,-51.817,-6.426,-52.727,-41.297,0.584,0.476,0.114,0.053,SIMBAD,THIN-DISK,0.964
237091400,2749,M6.5,"24,51",Yes,Yes,0.01376,1.647E+030,0.6659,0.00058,0.0032,0.00009,1.27E-206,22.555,-32.976,-13.047,32.135,-22.456,-6.037,0.621,0.02,0.025,SIMBAD,THIN-DISK,0.985
171648455,2912,M5.5,"22,45,46,48",No,No,0.00014,,,,,,,27.315,-23.769,3.24,36.895,-13.249,10.25,0.237,0.025,0.004,SIMBAD,THIN-DISK,0.984
149565536,2152,L0.7,23,No,No,0.00444,,,,,,,-0.647,-95.738,-26.704,8.933,-85.218,-19.694,,1.35,0.175,SIMBAD,THIN/THICK-TRANSITION,0.429
161640200,2289,M9.7,50,Yes,No,0.42767,2.3E+029,,,,,,-36.032,-55.243,20.926,-26.452,-44.723,27.936,0.553,0.155,0.059,SIMBAD,THIN-DISK,0.881
356700988,2245,L0,"40,47,48,49,50,51,52,53",Yes,Yes,0.05645,1.908E+029,0.4486,0.00052,0.0096,0.00009,5.96E-69,29.022,-26.854,1.472,38.602,-16.334,8.482,0.234,0.098,0.08,SIMBAD,THIN-DISK,0.985
270511002,2683,M7,"8,34",No,No,0.44506,,,,,,,16.901,19.08,-8.442,26.481,29.6,-1.432,4.022,5.841,7.092,SIMBAD,THIN-DISK,0.988
229876034,2570,M7.8,24,No,No,0.07696,,,,,,,27.609,-44.773,-2.237,37.189,-34.253,4.773,0.575,0.15,0.016,SIMBAD,THIN-DISK,0.977
313007938,2639,M7.3,"14,26,40,47,53",No,No,0.00577,,,,,,,-20.025,-17.632,-11.884,-10.445,-7.112,-4.874,0.229,0.094,0.093,SIMBAD,THIN-DISK,0.989
434261118,2867,M5.8,"5,32,43,44",No,No,3.76701,,,,,,,6.779,-12.477,-13.844,16.359,-1.957,-6.834,0.793,0.023,0.025,SIMBAD,THIN-DISK,0.988
399044334,2778,M6.3,"23,46,49",Yes,Yes,0.00213,2.322E+030,1.2234,0.00195,0.0035,0.00013,1.86E-117,-40.449,-17.219,-1.144,-30.869,-6.699,5.866,0.19,0.026,0.003,SIMBAD,THIN-DISK,0.987
459972249,1858,L2.7,5,No,No,0.49187,,,,,,,-4.792,-21.412,-16.123,4.788,-10.892,-9.113,0.864,0.08,0.074,SIMBAD,THIN-DISK,0.988
