#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
277539431 2322.632 2322.653 133.543 0.121 3.557E+32 120
277539431 1647.934 1647.943 64.620 0.098 1.721E+32 120
277539431 1641.812 1641.819 64.116 0.187 1.708E+32 120
277539431 2368.939 2368.943 35.716 0.166 9.513E+31 120
277539431 2324.938 2324.945 29.853 0.072 7.951E+31 120
277539431 2309.567 2309.571 27.769 0.161 7.396E+31 120
277539431 2315.953 2315.959 18.160 0.043 4.837E+31 120
316627328 1839.819 1839.828 191.653 0.706 7.235E+32 120
316627328 1833.579 1833.589 105.992 0.384 4.001E+32 120
316627328 1794.415 1794.425 25.212 0.043 9.518E+31 120
316627328 1823.038 1823.042 23.856 0.092 9.006E+31 120
316627328 1835.412 1835.417 19.850 0.085 7.494E+31 120
316627328 1836.214 1836.218 15.666 0.051 5.914E+31 120
316627328 1796.301 1796.307 11.095 0.029 4.188E+31 120
316627328 1797.590 1797.595 7.923 0.026 2.991E+31 120
316627328 1812.017 1812.021 6.860 0.023 2.590E+31 120
31381302 1605.354 1605.393 165.510 0.141 5.524E+32 120
31381302 1667.178 1667.192 67.326 0.205 2.247E+32 120
31381302 1355.271 1355.278 40.853 0.148 1.363E+32 120
31381302 1377.600 1377.614 37.088 0.070 1.238E+32 120
31381302 1655.304 1655.313 35.925 0.117 1.199E+32 120
31381302 1435.052 1435.062 34.263 0.098 1.143E+32 120
31381302 1578.529 1578.539 33.084 0.129 1.104E+32 120
31381302 1345.450 1345.459 29.741 0.096 9.925E+31 120
31381302 1588.860 1588.867 27.003 0.074 9.012E+31 120
31381302 1429.779 1429.783 25.109 0.147 8.380E+31 120
31381302 1335.092 1335.096 23.023 0.100 7.684E+31 120
31381302 1555.462 1555.466 22.105 0.144 7.377E+31 120
31381302 1548.554 1548.561 21.612 0.061 7.213E+31 120
31381302 1651.107 1651.111 20.536 0.089 6.853E+31 120
31381302 1463.569 1463.574 17.780 0.071 5.934E+31 120
31381302 1331.264 1331.271 17.045 0.051 5.688E+31 120
31381302 1336.134 1336.138 16.746 0.092 5.589E+31 120
31381302 1512.945 1512.949 16.560 0.085 5.527E+31 120
